race_code,race_date,st65,p6_12_n,p6_12_win,p6_12_makuri,p6_12_makurizashi,p6_12_attack,second_score,second_rank,gap,attack_potential,st_score,straight_score,ex_score,lap_score,mawari_score,first,second,third
20240914TMG04,2024-09-14,内側より下,91,0.0,0.0,0.0,0.0,28.0,2,8.0,8.0,3.0,5.0,3.0,4.0,2.0,3,2,4
20240914TMG05,2024-09-14,内側より下,25,4.0,0.0,0.0,0.0,27.0,2,6.0,7.0,5.0,2.0,4.0,3.0,4.0,1,2,6
20240914TMG06,2024-09-14,内側より下,28,3.5714285714285716,0.0,0.0,0.0,30.0,1,0.0,6.0,5.0,1.0,3.0,5.0,5.0,3,6,4
20240914TMG07,2024-09-14,内側より下,26,3.8461538461538463,3.8461538461538463,0.0,3.8461538461538463,28.0,2,5.0,10.0,5.0,5.0,3.0,3.0,2.0,1,3,4
20240914TMG08,2024-09-14,内側より上,41,0.0,0.0,0.0,0.0,17.0,6,11.0,7.0,5.0,2.0,2.0,1.0,2.0,5,1,4
20240914TMG09,2024-09-14,内側より下,28,0.0,0.0,0.0,0.0,17.0,6,17.0,8.0,5.0,3.0,2.0,1.0,1.0,3,6,4
20240914TMG10,2024-09-14,内側より下,43,2.3255813953488373,2.3255813953488373,0.0,2.3255813953488373,24.0,4,7.0,6.0,5.0,1.0,3.0,2.0,5.0,1,3,5
20240914TMG11,2024-09-14,内側より上,5,0.0,0.0,0.0,0.0,24.0,3,11.0,4.0,3.0,1.0,3.0,3.0,5.0,1,2,3
20240914TMG12,2024-09-14,内側より上,39,17.94871794871795,17.94871794871795,0.0,17.94871794871795,18.0,6,14.0,4.0,3.0,1.0,3.0,1.0,4.0,3,1,2
20240915TMG01,2024-09-15,内側より下,35,5.714285714285714,0.0,2.857142857142857,2.857142857142857,23.0,5,11.0,6.0,3.0,3.0,4.0,1.0,4.0,6,2,1
20240915TMG02,2024-09-15,内側より上,20,5.0,5.0,0.0,5.0,17.0,6,15.0,4.0,3.0,1.0,4.0,2.0,2.0,6,4,2
20240915TMG03,2024-09-15,内側より上,43,0.0,0.0,0.0,0.0,14.0,6,16.0,3.0,1.0,2.0,3.0,1.0,2.0,1,4,3
20240915TMG04,2024-09-15,内側より下,28,0.0,0.0,0.0,0.0,12.0,6,22.0,4.0,2.0,2.0,2.0,1.0,1.0,4,2,5
20240915TMG05,2024-09-15,内側より下,46,0.0,0.0,0.0,0.0,24.0,5,10.0,6.0,5.0,1.0,3.0,5.0,2.0,2,1,3
20240915TMG06,2024-09-15,内側より下,10,0.0,0.0,0.0,0.0,32.0,2,2.0,9.0,5.0,4.0,3.0,4.0,4.0,3,1,2
20240915TMG07,2024-09-15,内側より上,34,5.882352941176471,0.0,2.9411764705882355,2.9411764705882355,30.0,1,0.0,10.0,5.0,5.0,3.0,2.0,4.0,1,2,6
20240915TMG08,2024-09-15,内側より下,27,0.0,0.0,0.0,0.0,32.0,2,4.0,10.0,5.0,5.0,3.0,4.0,3.0,1,2,5
20240915TMG09,2024-09-15,内側より下,41,0.0,0.0,0.0,0.0,28.0,2,7.0,3.0,2.0,1.0,4.0,5.0,5.0,1,2,6
20240915TMG10,2024-09-15,内側より下,31,0.0,0.0,0.0,0.0,33.0,1,0.0,8.0,3.0,5.0,4.0,5.0,3.0,1,4,2
20240915TMG11,2024-09-15,内側より上,40,17.5,17.5,0.0,17.5,20.0,5,9.0,5.0,3.0,2.0,3.0,2.0,3.0,1,4,5
20240915TMG12,2024-09-15,内側より下,26,0.0,0.0,0.0,0.0,22.0,5,7.0,6.0,1.0,5.0,3.0,2.0,2.0,1,2,5
20240918TMG01,2024-09-18,内側より上,81,1.2345679012345678,0.0,1.2345679012345678,1.2345679012345678,34.0,1,0.0,8.0,3.0,5.0,3.0,5.0,4.0,2,3,4
20240918TMG02,2024-09-18,内側より下,66,0.0,0.0,0.0,0.0,10.0,6,24.0,4.0,3.0,1.0,1.0,1.0,1.0,1,2,5
20240918TMG03,2024-09-18,内側より下,26,0.0,0.0,0.0,0.0,30.0,2,2.0,8.0,3.0,5.0,3.0,5.0,2.0,2,1,6
20240918TMG04,2024-09-18,内側より下,138,1.4492753623188406,0.0,0.7246376811594203,0.7246376811594203,28.0,3,6.0,7.0,2.0,5.0,2.0,5.0,2.0,4,3,5
20240918TMG05,2024-09-18,内側より下,26,0.0,0.0,0.0,0.0,26.0,2,11.0,6.0,5.0,1.0,3.0,3.0,5.0,1,2,6
20240918TMG06,2024-09-18,内側より下,29,3.4482758620689653,3.4482758620689653,0.0,3.4482758620689653,25.0,4,6.0,8.0,3.0,5.0,2.0,2.0,3.0,1,3,2
20240918TMG07,2024-09-18,内側より下,196,2.5510204081632653,1.0204081632653061,1.0204081632653061,2.0408163265306123,29.0,3,3.0,9.0,5.0,4.0,4.0,2.0,4.0,2,6,1
20240918TMG08,2024-09-18,内側より下,31,9.67741935483871,3.225806451612903,3.225806451612903,6.451612903225806,26.0,4,2.0,8.0,5.0,3.0,3.0,3.0,3.0,4,3,2
20240918TMG09,2024-09-18,内側より下,36,0.0,0.0,0.0,0.0,25.0,4,5.0,8.0,3.0,5.0,4.0,3.0,1.0,2,1,3
20240918TMG10,2024-09-18,内側より下,30,0.0,0.0,0.0,0.0,24.0,5,7.0,6.0,5.0,1.0,5.0,2.0,4.0,4,3,2
20240918TMG11,2024-09-18,内側より下,42,0.0,0.0,0.0,0.0,22.0,4,14.0,7.0,5.0,2.0,3.0,1.0,4.0,1,5,4
20240918TMG12,2024-09-18,内側より上,24,0.0,0.0,0.0,0.0,29.0,2,5.0,7.0,5.0,2.0,4.0,4.0,4.0,2,5,1
20240919TMG01,2024-09-19,内側より下,139,1.4388489208633093,0.0,0.7194244604316546,0.7194244604316546,20.0,5,16.0,8.0,3.0,5.0,3.0,1.0,1.0,3,1,5
20240919TMG02,2024-09-19,内側より上,67,0.0,0.0,0.0,0.0,21.0,5,16.0,10.0,5.0,5.0,2.0,1.0,1.0,2,4,1
20240919TMG03,2024-09-19,内側より下,33,0.0,0.0,0.0,0.0,22.0,5,12.0,6.0,5.0,1.0,3.0,1.0,5.0,2,3,4
20240919TMG04,2024-09-19,同じ,26,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,22.0,4,9.0,4.0,3.0,1.0,3.0,2.0,5.0,2,1,6
20240919TMG05,2024-09-19,内側より下,197,2.5380710659898478,1.015228426395939,1.015228426395939,2.030456852791878,21.0,4,9.0,8.0,3.0,5.0,4.0,1.0,1.0,3,4,6
20240919TMG06,2024-09-19,内側より下,67,0.0,0.0,0.0,0.0,21.0,5,15.0,8.0,3.0,5.0,4.0,1.0,1.0,4,3,5
20240919TMG07,2024-09-19,内側より上,34,2.9411764705882355,2.9411764705882355,0.0,2.9411764705882355,32.0,2,4.0,10.0,5.0,5.0,3.0,3.0,4.0,4,3,1
20240919TMG09,2024-09-19,内側より下,197,2.5380710659898478,1.015228426395939,1.015228426395939,2.030456852791878,20.0,5,15.0,4.0,3.0,1.0,5.0,1.0,4.0,1,3,2
20240919TMG10,2024-09-19,内側より下,23,0.0,0.0,0.0,0.0,24.0,4,12.0,6.0,3.0,3.0,3.0,3.0,3.0,1,3,2
20240919TMG11,2024-09-19,内側より下,36,2.7777777777777777,0.0,0.0,0.0,22.0,4,15.0,3.0,2.0,1.0,4.0,3.0,4.0,5,1,4
20240919TMG12,2024-09-19,内側より下,29,0.0,0.0,0.0,0.0,23.0,6,6.0,7.0,3.0,4.0,4.0,1.0,3.0,1,3,5
20240920TMG01,2024-09-20,内側より下,32,9.375,3.125,3.125,6.25,26.0,2,4.0,5.0,3.0,2.0,3.0,5.0,3.0,3,6,1
20240920TMG02,2024-09-20,内側より下,31,0.0,0.0,0.0,0.0,26.0,2,5.0,9.0,5.0,4.0,3.0,3.0,2.0,1,3,4
20240920TMG03,2024-09-20,内側より下,69,0.0,0.0,0.0,0.0,16.0,6,16.0,6.0,3.0,3.0,3.0,1.0,1.0,3,2,4
20240920TMG04,2024-09-20,内側より下,28,0.0,0.0,0.0,0.0,32.0,1,0.0,10.0,5.0,5.0,3.0,3.0,4.0,5,1,3
20240920TMG05,2024-09-20,内側より下,27,3.7037037037037037,0.0,0.0,0.0,22.0,5,11.0,9.0,5.0,4.0,3.0,2.0,1.0,4,3,1
20240920TMG06,2024-09-20,内側より上,36,8.333333333333334,0.0,2.7777777777777777,2.7777777777777777,26.0,3,5.0,6.0,5.0,1.0,3.0,4.0,4.0,1,2,3
20240920TMG07,2024-09-20,内側より下,199,2.512562814070352,1.0050251256281406,1.0050251256281406,2.0100502512562812,18.0,5,17.0,5.0,3.0,2.0,3.0,2.0,2.0,2,3,1
20240920TMG08,2024-09-20,内側より上,82,1.2195121951219512,0.0,1.2195121951219512,1.2195121951219512,18.0,4,13.0,4.0,3.0,1.0,3.0,1.0,4.0,3,1,2
20240920TMG09,2024-09-20,内側より下,24,0.0,0.0,0.0,0.0,16.0,5,16.0,4.0,3.0,1.0,3.0,2.0,2.0,1,2,6
20240920TMG10,2024-09-20,内側より上,31,6.451612903225806,3.225806451612903,3.225806451612903,6.451612903225806,19.0,5,13.0,4.0,3.0,1.0,2.0,3.0,3.0,1,4,2
20240920TMG11,2024-09-20,内側より下,29,3.4482758620689653,0.0,3.4482758620689653,3.4482758620689653,18.0,5,18.0,4.0,3.0,1.0,1.0,2.0,4.0,2,3,1
20240920TMG12,2024-09-20,内側より下,27,3.7037037037037037,0.0,3.7037037037037037,3.7037037037037037,18.0,5,12.0,3.0,2.0,1.0,2.0,2.0,4.0,1,5,3
20240921TMG01,2024-09-21,内側より下,140,1.4285714285714286,0.0,0.7142857142857143,0.7142857142857143,28.0,2,3.0,8.0,5.0,3.0,3.0,4.0,3.0,1,2,5
20240921TMG02,2024-09-21,内側より下,200,2.5,1.0,1.0,2.0,24.0,3,7.0,5.0,3.0,2.0,3.0,3.0,4.0,3,4,6
20240921TMG03,2024-09-21,内側より上,70,0.0,0.0,0.0,0.0,15.0,5,17.0,5.0,2.0,3.0,3.0,1.0,1.0,5,2,4
20240921TMG04,2024-09-21,内側より上,23,4.3478260869565215,0.0,0.0,0.0,20.0,5,15.0,4.0,3.0,1.0,3.0,1.0,5.0,2,1,3
20240921TMG05,2024-09-21,内側より下,33,0.0,0.0,0.0,0.0,17.0,6,18.0,6.0,5.0,1.0,2.0,1.0,3.0,1,2,4
20240921TMG06,2024-09-21,内側より上,22,0.0,0.0,0.0,0.0,28.0,1,0.0,10.0,5.0,5.0,3.0,4.0,1.0,1,4,3
20240921TMG07,2024-09-21,内側より上,70,0.0,0.0,0.0,0.0,19.0,5,14.0,7.0,2.0,5.0,3.0,1.0,1.0,2,1,5
20240921TMG08,2024-09-21,内側より下,31,0.0,0.0,0.0,0.0,20.0,4,11.0,6.0,5.0,1.0,3.0,1.0,4.0,1,2,3
20240921TMG09,2024-09-21,内側より上,27,0.0,0.0,0.0,0.0,28.0,2,2.0,9.0,5.0,4.0,3.0,5.0,1.0,1,2,3
20240921TMG10,2024-09-21,内側より上,27,0.0,0.0,0.0,0.0,20.0,4,16.0,4.0,3.0,1.0,1.0,2.0,5.0,4,1,2
20240921TMG11,2024-09-21,内側より下,25,0.0,0.0,0.0,0.0,24.0,3,7.0,8.0,3.0,5.0,3.0,2.0,2.0,1,3,5
20240921TMG12,2024-09-21,内側より下,23,0.0,0.0,0.0,0.0,20.0,4,14.0,6.0,5.0,1.0,1.0,2.0,4.0,1,3,4
20240922TMG01,2024-09-22,内側より下,141,1.4184397163120568,0.0,0.7092198581560284,0.7092198581560284,30.0,3,2.0,10.0,5.0,5.0,3.0,4.0,2.0,4,5,6
20240922TMG02,2024-09-22,内側より下,25,0.0,0.0,0.0,0.0,31.0,1,0.0,10.0,5.0,5.0,4.0,5.0,1.0,1,6,4
20240922TMG03,2024-09-22,内側より上,72,0.0,0.0,0.0,0.0,18.0,6,17.0,7.0,5.0,2.0,3.0,2.0,1.0,1,4,3
20240922TMG04,2024-09-22,内側より下,34,2.9411764705882355,2.9411764705882355,0.0,2.9411764705882355,28.0,2,5.0,8.0,3.0,5.0,3.0,4.0,2.0,1,3,6
20240922TMG05,2024-09-22,内側より下,25,4.0,0.0,0.0,0.0,14.0,6,22.0,6.0,5.0,1.0,3.0,1.0,1.0,1,6,4
20240922TMG06,2024-09-22,内側より下,26,0.0,0.0,0.0,0.0,18.0,6,21.0,6.0,3.0,3.0,3.0,2.0,1.0,4,5,3
20240922TMG07,2024-09-22,内側より上,43,0.0,0.0,0.0,0.0,22.0,3,7.0,5.0,3.0,2.0,3.0,3.0,3.0,1,6,4
20240922TMG08,2024-09-22,内側より下,201,2.487562189054726,0.9950248756218906,0.9950248756218906,1.9900497512437811,22.0,4,14.0,8.0,3.0,5.0,3.0,2.0,1.0,1,2,3
20240922TMG09,2024-09-22,内側より上,20,0.0,0.0,0.0,0.0,21.0,5,13.0,8.0,3.0,5.0,2.0,2.0,1.0,1,3,4
20240922TMG10,2024-09-22,内側より下,26,0.0,0.0,0.0,0.0,22.0,5,8.0,6.0,5.0,1.0,3.0,1.0,5.0,1,2,5
20240922TMG11,2024-09-22,内側より下,25,0.0,0.0,0.0,0.0,25.0,4,8.0,7.0,3.0,4.0,4.0,4.0,1.0,1,5,2
20240922TMG12,2024-09-22,内側より上,30,0.0,0.0,0.0,0.0,26.0,3,4.0,6.0,5.0,1.0,3.0,3.0,5.0,4,1,6
20240923TMG01,2024-09-23,内側より上,73,0.0,0.0,0.0,0.0,18.0,6,20.0,7.0,2.0,5.0,2.0,1.0,1.0,5,1,4
20240923TMG02,2024-09-23,内側より上,202,2.4752475247524752,0.9900990099009901,0.9900990099009901,1.9801980198019802,18.0,6,14.0,6.0,3.0,3.0,3.0,1.0,2.0,4,3,1
20240923TMG04,2024-09-23,内側より下,32,6.25,3.125,3.125,6.25,32.0,1,0.0,8.0,3.0,5.0,3.0,5.0,3.0,2,1,4
20240923TMG05,2024-09-23,内側より下,37,2.7027027027027026,0.0,0.0,0.0,20.0,4,11.0,6.0,5.0,1.0,3.0,1.0,4.0,1,5,2
20240923TMG06,2024-09-23,内側より上,73,0.0,0.0,0.0,0.0,22.0,4,8.0,10.0,5.0,5.0,3.0,1.0,1.0,3,2,1
20240923TMG07,2024-09-23,内側より下,202,2.4752475247524752,0.9900990099009901,0.9900990099009901,1.9801980198019802,19.0,5,12.0,6.0,3.0,3.0,4.0,1.0,2.0,5,6,2
20240923TMG08,2024-09-23,内側より上,83,1.2048192771084338,0.0,1.2048192771084338,1.2048192771084338,23.0,3,11.0,6.0,5.0,1.0,2.0,2.0,5.0,4,2,1
20240923TMG09,2024-09-23,内側より上,39,0.0,0.0,0.0,0.0,28.0,2,5.0,10.0,5.0,5.0,1.0,5.0,1.0,6,4,1
20240923TMG10,2024-09-23,内側より下,32,0.0,0.0,0.0,0.0,22.0,4,10.0,4.0,3.0,1.0,3.0,3.0,4.0,1,2,6
20240923TMG11,2024-09-23,内側より下,26,0.0,0.0,0.0,0.0,31.0,2,3.0,10.0,5.0,5.0,4.0,3.0,3.0,1,2,6
20240923TMG12,2024-09-23,内側より下,26,0.0,0.0,0.0,0.0,29.0,4,3.0,10.0,5.0,5.0,2.0,2.0,4.0,4,3,5
20240928TMG01,2024-09-28,内側より下,65,0.0,0.0,0.0,0.0,18.0,5,15.0,4.0,3.0,1.0,3.0,3.0,2.0,1,6,5
20240928TMG02,2024-09-28,内側より下,27,0.0,0.0,0.0,0.0,22.0,4,10.0,9.0,5.0,4.0,3.0,1.0,2.0,1,2,6
20240928TMG03,2024-09-28,内側より下,86,0.0,0.0,0.0,0.0,20.0,6,8.0,6.0,5.0,1.0,3.0,4.0,1.0,2,4,5
20240928TMG04,2024-09-28,内側より下,27,0.0,0.0,0.0,0.0,28.0,2,4.0,7.0,5.0,2.0,3.0,3.0,5.0,5,2,3
20240928TMG05,2024-09-28,内側より下,33,9.090909090909092,0.0,9.090909090909092,9.090909090909092,20.0,5,12.0,4.0,3.0,1.0,3.0,1.0,5.0,4,2,5
20240928TMG06,2024-09-28,内側より上,60,0.0,0.0,0.0,0.0,27.0,3,4.0,6.0,2.0,4.0,3.0,2.0,5.0,1,3,2
20240928TMG07,2024-09-28,内側より下,24,0.0,0.0,0.0,0.0,21.0,4,15.0,7.0,5.0,2.0,4.0,1.0,3.0,5,1,3
20240928TMG08,2024-09-28,内側より上,27,0.0,0.0,0.0,0.0,21.0,6,13.0,2.0,1.0,1.0,4.0,2.0,5.0,1,5,3
20240928TMG09,2024-09-28,内側より下,40,2.5,0.0,2.5,2.5,30.0,1,0.0,10.0,5.0,5.0,3.0,4.0,2.0,1,3,4
20240928TMG10,2024-09-28,内側より下,36,0.0,0.0,0.0,0.0,26.0,3,6.0,10.0,5.0,5.0,3.0,3.0,1.0,1,4,3
20240928TMG12,2024-09-28,内側より下,34,5.882352941176471,0.0,0.0,0.0,23.0,5,9.0,5.0,3.0,2.0,4.0,2.0,4.0,1,3,2
20240929TMG02,2024-09-29,内側より下,27,0.0,0.0,0.0,0.0,28.0,3,3.0,4.0,3.0,1.0,5.0,4.0,5.0,2,3,1
20240929TMG03,2024-09-29,内側より下,29,0.0,0.0,0.0,0.0,20.0,5,18.0,6.0,5.0,1.0,3.0,1.0,4.0,4,5,2
20240929TMG04,2024-09-29,内側より下,30,0.0,0.0,0.0,0.0,14.0,6,18.0,5.0,3.0,2.0,3.0,1.0,1.0,1,2,4
